name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0569,,G2,96,8,412316860416,20000,6,348,412316860416,190,3800,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7190,143800
0001-openb-node-1140,,V100M16,8,1,34359738368,16160,2,848,34359738368,30,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,484
0002-openb-node-0893,,G2,96,8,412316860416,20000,7,700,412316860416,0,0,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7000,140000
0003-openb-node-0685,,G2,96,8,412316860416,20000,5,500,412316860416,0,0,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7000,140000
0004-openb-node-0573,,T4,104,2,549755813888,15109,8,7690,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0005-openb-node-0974,,G2,96,8,412316860416,20000,7,1000,412316860416,680,13600,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7680,153600
0006-openb-node-1063,,T4,104,2,549755813888,15109,6,7200,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0007-openb-node-1180,,T4,104,2,549755813888,15109,5,1292,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0008-openb-node-0672,,T4,104,2,549755813888,15109,7,3892,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0009-openb-node-0495,,G3,128,8,824633720832,30000,9,48,824633720832,190,5700,1000,30000,1000,30000,1000,30000,1000,30000,1000,30000,1000,30000,1000,30000,7190,215700
0010-openb-node-0538,,T4,104,2,549755813888,15109,6,7900,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011-openb-node-0035,,T4,96,4,412316860416,15109,7,1100,412316860416,0,0,1000,15109,1000,15109,1000,15109,0,0,0,0,0,0,0,0,3000,45327
0012-openb-node-1037,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0013-openb-node-0658,,G2,96,8,412316860416,20000,6,0,412316860416,220,4400,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7220,144400
0014-openb-node-0720,,T4,104,2,549755813888,15109,9,7000,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0015-openb-node-0889,,V100M32,96,8,824633720832,32510,5,600,824633720832,1000,32510,1000,32510,1000,32510,1000,32510,1000,32510,1000,32510,1000,32510,1000,32510,8000,260080
0016-openb-node-0056,,G2,96,8,412316860416,20000,8,48,412316860416,190,3800,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7190,143800
0017-openb-node-0202,,T4,104,2,549755813888,15109,7,800,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0018-openb-node-0464,,G2,96,8,412316860416,20000,4,100,412316860416,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,8000,160000
0019-openb-node-0967,,P100,16,2,128849018880,16280,2,92,128849018880,300,4884,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,1300,21164
0020-openb-node-0768,,T4,104,2,549755813888,15109,6,600,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021-openb-node-0625,,V100M16,32,4,137438953472,16160,1,0,137438953472,1000,16160,1000,16160,1000,16160,1000,16160,0,0,0,0,0,0,0,0,4000,64640
0022-openb-node-1165,,T4,104,2,549755813888,15109,6,5500,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0023-openb-node-0302,,T4,104,2,549755813888,15109,5,100,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0024-openb-node-0890,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0025-openb-node-1023,,G2,96,8,412316860416,20000,7,2100,412316860416,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,8000,160000
0026-openb-node-0068,,T4,104,2,549755813888,15109,7,900,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0027-openb-node-0010,,P100,64,2,274877906944,16280,7,3092,274877906944,30,488,10,162,0,0,0,0,0,0,0,0,0,0,0,0,40,650
0028-openb-node-0406,,G2,96,8,412316860416,20000,4,3000,412316860416,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,8000,160000
0029-openb-node-0328,,G2,96,8,412316860416,20000,6,200,412316860416,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,8000,160000
0030-openb-node-0708,,G2,96,8,412316860416,20000,5,2500,412316860416,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,8000,160000
0031-openb-node-0935,,G2,96,8,412316860416,20000,7,848,412316860416,190,3800,680,13600,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6870,137400
0032-openb-node-1067,,G2,96,8,412316860416,20000,5,948,412316860416,190,3800,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7190,143800
0033-openb-node-0191,,G2,96,8,412316860416,20000,10,348,412316860416,190,3800,360,7200,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6550,131000
0034-openb-node-0957,,G2,96,8,412316860416,20000,9,848,412316860416,190,3800,360,7200,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6550,131000
0035-openb-node-0367,,G2,96,8,412316860416,20000,8,3548,412316860416,0,0,0,0,0,0,0,0,1000,20000,1000,20000,1000,20000,1000,20000,4000,80000
0036-openb-node-1096,,T4,104,2,549755813888,15109,7,7948,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0037-openb-node-0846,,T4,104,2,549755813888,15109,6,7900,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0038-openb-node-0682,,G2,96,8,412316860416,20000,9,3530,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0039-openb-node-0346,,G2,96,8,412316860416,20000,8,3392,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0040-openb-node-0553,,P100,16,2,128849018880,16280,2,92,128849018880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0041-openb-node-1192,,T4,104,2,549755813888,15109,6,5390,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0042-openb-node-0294,,G3,128,8,824633720832,30000,7,200,824633720832,0,0,0,0,0,0,0,0,1000,30000,1000,30000,1000,30000,1000,30000,4000,120000
0043-openb-node-0008,,P100,64,2,274877906944,16280,5,1400,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0044-openb-node-0234,,T4,104,2,549755813888,15109,5,5690,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0045-openb-node-0800,,T4,104,2,549755813888,15109,5,4800,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0046-openb-node-0921,,V100M16,32,4,137438953472,16160,5,6636,137438953472,190,3070,210,3393,190,3070,190,3070,0,0,0,0,0,0,0,0,780,12603
0047-openb-node-0726,,T4,104,2,549755813888,15109,7,848,549755813888,190,2870,210,3172,0,0,0,0,0,0,0,0,0,0,0,0,400,6042
0048-openb-node-1029,,G2,96,8,412316860416,20000,15,84,412316860416,210,4200,70,1400,190,3800,190,3800,60,1200,190,3800,190,3800,30,600,1130,22600
0049-openb-node-0341,,G2,96,8,412316860416,20000,7,248,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,20000,1000,20000
0050-openb-node-0453,,T4,104,2,549755813888,15109,8,992,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0051-openb-node-0069,,T4,104,2,549755813888,15109,10,1540,549755813888,10,151,30,453,0,0,0,0,0,0,0,0,0,0,0,0,40,604
0052-openb-node-0833,,G2,96,8,412316860416,20000,8,300,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
